Year,Sex,Name,Count
1996,Female,bita,5
1996,Female,biviana,11
1996,Female,blair,290
1996,Female,blaire,27
1996,Female,blake,128
1996,Female,blakely,16
1996,Female,blanca,414
1996,Female,blima,26
1996,Female,blimie,13
1996,Female,blimy,7
1996,Female,blythe,5
1996,Female,bobbi,175
1996,Female,bobbie,217
1996,Female,bonita,5
1996,Female,bonnie,346
1996,Female,bracha,30
1996,Female,brandee,45
1996,Female,brandi,1942
1996,Female,brandie,176
1996,Female,brandon,26
1996,Female,brandy,1350
1996,Female,brayden,5
1996,Female,brea,139
1996,Female,breahna,7
1996,Female,breana,674
1996,Female,breann,255
1996,Female,breanna,4700
1996,Female,breanne,373
1996,Female,breauna,34
1996,Female,breaunna,6
1996,Female,bree,79
1996,Female,breeana,46
1996,Female,breeann,27
1996,Female,breeanna,107
1996,Female,breena,8
1996,Female,brenda,2391
1996,Female,brenna,1122
1996,Female,brennan,18
1996,Female,breona,99
1996,Female,breonna,234
1996,Female,brett,25
1996,Female,breunna,5
1996,Female,breyana,17
1996,Female,breyanna,21
1996,Female,bria,638
1996,Female,briahna,13
1996,Female,brian,8
1996,Female,briana,4723
1996,Female,brianda,51
1996,Female,briani,5
1996,Female,briann,40
1996,Female,brianna,11924
1996,Female,brianne,616
1996,Female,briauna,20
1996,Female,bridget,1515
1996,Female,bridgett,96
1996,Female,bridgette,343
1996,Female,brie,22
1996,Female,brieana,15
1996,Female,brieanna,101
1996,Female,brielle,308
1996,Female,brienna,18
1996,Female,brienne,5
1996,Female,brigette,42
1996,Female,brigid,83
1996,Female,brigitte,69
1996,Female,briley,19
1996,Female,brina,23
1996,Female,brinlee,6
1996,Female,briona,47
1996,Female,brionna,240
1996,Female,brionne,12
1996,Female,brisa,57
1996,Female,briseida,15
1996,Female,brissa,10
1996,Female,britani,5
1996,Female,britany,110
1996,Female,britnee,12
1996,Female,britney,671
1996,Female,britni,53
1996,Female,britny,32
1996,Female,britt,5
1996,Female,britta,25
1996,Female,brittan,5
1996,Female,brittanee,10
1996,Female,brittaney,34
1996,Female,brittani,401
1996,Female,brittanie,120
1996,Female,brittany,13796
1996,Female,brittnay,5
1996,Female,brittnee,60
1996,Female,brittney,2741
1996,Female,brittni,153
1996,Female,brittnie,33
1996,Female,brittny,43
1996,Female,briyana,5
1996,Female,brocha,16
1996,Female,bronte,7
1996,Female,bronwyn,18
1996,Female,brook,271
1996,Female,brooke,6724
1996,Female,brookelyn,24
1996,Female,brookelynn,12
1996,Female,brooklin,5
1996,Female,brooklyn,988
1996,Female,brooklynn,225
1996,Female,brucha,23
1996,Female,bruchy,8
1996,Female,bruna,5
1996,Female,bryana,206
1996,Female,bryanna,704
1996,Female,bryce,68
1996,Female,brylee,7
1996,Female,bryn,57
1996,Female,brynn,117
1996,Female,brynna,5
1996,Female,brynne,10
1996,Female,bryonna,5
1996,Female,byanka,5
1996,Female,cache,20
1996,Female,cady,5
1996,Female,caila,18
1996,Female,cailee,9
1996,Female,cailey,38
1996,Female,cailin,71
1996,Female,cailyn,44
1996,Female,caira,9
1996,Female,caitlin,4270
1996,Female,caitlyn,2329
1996,Female,caitlynn,123
1996,Female,caleigh,85
1996,Female,caley,26
1996,Female,cali,113
1996,Female,callan,6
1996,Female,calli,48
1996,Female,callie,846
1996,Female,cambria,23
1996,Female,camelia,6
1996,Female,camellia,5
1996,Female,cameo,5
1996,Female,cameron,412
1996,Female,cameryn,8
1996,Female,cami,32
1996,Female,camila,109
1996,Female,camilla,88
1996,Female,camille,917
1996,Female,camisha,8
1996,Female,camry,48
1996,Female,camryn,25
1996,Female,candace,727
1996,Female,candelaria,15
1996,Female,candi,6
1996,Female,candice,577
1996,Female,candra,5
1996,Female,candy,84
1996,Female,caoimhe,5
1996,Female,caprice,26
